UNITID,EFCSTATE,LINE,EFRES01,EFRES02 
110714,26,26,2,2.0
110714,28,28,4,2.0
110714,31,31,1,1.0
110714,36,36,1,1.0
110714,37,37,1,1.0
110714,39,39,4,4.0
110714,40,40,2,2.0
110714,42,42,2,1.0
110714,45,45,3,3.0
110714,47,47,6,6.0
110714,48,48,1,1.0
110714,49,49,1,0.0
110714,51,51,3,3.0
110714,54,54,2,2.0
110714,58,999,576,415.0
110714,90,90,58,25.0
110714,99,99,576,415.0
110714,5,5,576,415.0
110714,5,5,1,1.0
110714,6,6,1,0.0
110714,8,8,1,0.0
110714,12,12,3,0.0
110714,13,13,6,4.0
110714,21,21,1,0.0
110714,28,28,1,1.0
110714,37,37,2,1.0
110714,39,39,1,0.0
110714,42,42,2,1.0
110714,45,45,1,1.0
110714,47,47,3,1.0
110714,48,48,2,1.0
110714,51,51,1,0.0
110714,54,54,1,0.0
110714,58,999,576,415.0
110714,99,99,576,415.0
110714,5,5,576,415.0
110714,5,5,1,0.0
110714,8,8,1,1.0
110714,12,12,2,2.0
110714,13,13,4,4.0
110714,16,16,1,0.0
110714,17,17,2,2.0
110714,18,18,2,0.0
110714,21,21,1,1.0
110714,25,25,1,1.0
110714,27,27,1,1.0
110714,28,28,1,1.0
110714,29,29,1,1.0
110714,37,37,1,0.0
110714,47,47,26,19.0
110714,48,48,1,1.0
110714,51,51,2,2.0
110714,53,53,1,0.0
110714,55,55,1,1.0
110714,57,57,1,0.0
110714,58,999,576,415.0
110714,90,90,1,0.0
110714,99,99,576,415.0
110714,5,5,576,415.0
110714,5,5,1,1.0
110714,6,6,1,0.0
110714,12,12,4,4.0
110714,13,13,7,7.0
110714,24,24,1,1.0
110714,26,26,1,0.0
110714,28,28,1,0.0
110714,36,36,1,1.0
110714,39,39,1,0.0
110714,42,42,2,1.0
110714,47,47,6,4.0
110714,48,48,1,1.0
110714,58,999,576,415.0
110714,99,99,576,415.0
110714,5,5,251,178.0
110714,12,12,8,6.0
110714,13,13,4,3.0
110714,21,21,1,1.0
110714,22,22,2,2.0
110714,28,28,22,17.0
110714,45,45,1,1.0
110714,48,48,2,2.0
110714,58,999,291,210.0
110714,90,90,9,0.0
110714,99,99,309,210.0
110714,5,5,396,360.0
110714,5,5,1,0.0
110714,12,12,12,12.0
110714,13,13,5,4.0
110714,28,28,1,1.0
110714,57,57,1,1.0
110714,58,999,416,378.0
110714,99,99,418,378.0
110714,5,5,84,75.0
110714,5,5,1,1.0
110714,5,5,1,1.0
110714,6,6,5,5.0
110714,8,8,2,1.0
110714,9,9,5,5.0
110714,12,12,16,15.0
110714,13,13,7,3.0
110714,17,17,2,2.0
110714,18,18,1,1.0
110714,19,19,2,1.0
110714,20,20,1,1.0
110714,21,21,2,2.0
110714,22,22,2,2.0
110714,24,24,1,1.0
110714,25,25,2,1.0
110714,26,26,1,1.0
110714,27,27,1,1.0
110714,28,28,10,9.0
110714,29,29,1,1.0
110714,34,34,6,6.0
110714,36,36,6,6.0
110714,37,37,1,1.0
110714,39,39,1,1.0
110714,40,40,1,0.0
110714,41,41,3,3.0
110714,42,42,4,4.0
110714,45,45,2,2.0
110714,47,47,4,3.0
110714,48,48,12,10.0
110714,51,51,2,1.0
110714,53,53,1,1.0
110714,55,55,1,1.0
110714,57,57,3,3.0
110714,58,999,194,171.0
110714,60,60,1,1.0
110714,89,999,1,1.0
110714,99,99,195,172.0
110714,5,5,173,151.0
110714,5,5,1,1.0
110714,6,6,10,10.0
110714,8,8,3,3.0
110714,11,11,1,1.0
110714,12,12,11,10.0
110714,13,13,49,47.0
110714,17,17,3,3.0
110714,22,22,17,17.0
110714,24,24,1,1.0
110714,26,26,3,3.0
110714,28,28,2,2.0
110714,32,32,2,2.0
110714,34,34,1,1.0
110714,37,37,3,3.0
110714,39,39,3,3.0
110714,42,42,1,1.0
110714,45,45,1,1.0
110714,47,47,5,5.0
110714,48,48,2,2.0
110714,55,55,4,4.0
110714,58,999,296,271.0
110714,99,99,296,271.0
110714,5,5,192,191.0
110714,12,12,16,16.0
110714,13,13,8,8.0
110714,22,22,14,14.0
110714,26,26,1,1.0
110714,28,28,4,4.0
110714,29,29,2,2.0
110714,32,32,2,2.0
110714,36,36,2,2.0
110714,47,47,1,1.0
110714,48,48,3,3.0
110714,49,49,1,1.0
110714,58,999,246,245.0
110714,90,90,26,26.0
110714,99,99,272,271.0
110714,5,5,436,328.0
110714,5,5,2,1.0
110714,6,6,9,8.0
110714,10,10,1,1.0
110714,12,12,14,13.0
110714,13,13,25,25.0
110714,17,17,1,1.0
110714,21,21,3,3.0
110714,22,22,2,2.0
110714,26,26,1,1.0
110714,27,27,2,2.0
110714,28,28,7,6.0
110714,36,36,1,1.0
110714,37,37,1,1.0
110714,40,40,1,1.0
110714,42,42,2,2.0
110714,45,45,3,3.0
110714,47,47,8,7.0
110714,48,48,2,2.0
110714,49,49,1,1.0
110714,51,51,1,1.0
110714,58,999,523,410.0
110714,90,90,21,15.0
110714,99,99,544,415.0
110714,5,5,576,415.0
110714,15,15,1,1.0
110714,47,47,9,8.0
110714,58,999,576,415.0
110714,99,99,576,415.0
110714,5,5,576,415.0
110714,5,5,1,1.0
110714,6,6,1,1.0
110714,8,8,2,2.0
110714,12,12,5,5.0
110714,13,13,7,7.0
110714,17,17,3,3.0
110714,18,18,1,1.0
110714,19,19,1,1.0
110714,20,20,2,2.0
110714,21,21,3,3.0
110714,27,27,1,1.0
110714,28,28,23,23.0
110714,29,29,1,1.0
110714,31,31,1,1.0
110714,37,37,3,3.0
110714,39,39,2,2.0
110714,42,42,2,2.0
110714,45,45,1,1.0
110714,47,47,143,143.0
110714,48,48,4,4.0
110714,51,51,3,3.0
110714,58,999,576,415.0
110714,90,90,45,45.0
110714,99,99,576,415.0
110714,5,5,530,415.0
110714,13,13,2,1.0
110714,17,17,1,1.0
110714,47,47,2,1.0
110714,58,999,535,415.0
110714,99,99,541,415.0
110714,5,5,32,23.0
110714,5,5,1,1.0
110714,5,5,1,0.0
110714,6,6,17,7.0
110714,8,8,2,1.0
110714,12,12,36,22.0
110714,13,13,24,20.0
110714,17,17,2,1.0
110714,18,18,4,1.0
110714,20,20,2,2.0
110714,21,21,4,0.0
110714,23,23,1,0.0
110714,24,24,14,5.0
110714,25,25,8,2.0
110714,26,26,7,1.0
110714,27,27,5,5.0
110714,28,28,1,0.0
110714,29,29,7,6.0
110714,32,32,1,0.0
110714,34,34,5,1.0
110714,36,36,24,10.0
110714,37,37,7,2.0
110714,39,39,2,0.0
110714,40,40,1,0.0
110714,41,41,2,2.0
110714,42,42,6,1.0
110714,45,45,3,2.0
110714,47,47,5,1.0
110714,48,48,16,9.0
110714,51,51,7,4.0
110714,53,53,1,1.0
110714,55,55,1,0.0
110714,58,999,249,130.0
110714,78,78,1,1.0
110714,89,999,1,1.0
110714,90,90,61,9.0
110714,99,99,378,140.0
110714,5,5,80,63.0
110714,58,999,80,63.0
110714,99,99,82,63.0
110714,5,5,539,265.0
110714,6,6,2,1.0
110714,12,12,13,12.0
110714,13,13,4,4.0
110714,22,22,2,2.0
110714,24,24,1,1.0
110714,25,25,1,1.0
110714,28,28,5,0.0
110714,42,42,1,1.0
110714,58,999,568,287.0
110714,72,72,1,1.0
110714,89,999,1,1.0
110714,99,99,576,288.0
110714,5,5,244,233.0
110714,5,5,1,1.0
110714,5,5,1,1.0
110714,5,5,7,7.0
110714,6,6,5,5.0
110714,8,8,6,6.0
110714,9,9,1,1.0
110714,12,12,88,87.0
110714,13,13,215,211.0
110714,15,15,1,1.0
110714,17,17,13,13.0
110714,18,18,4,4.0
110714,19,19,1,1.0
110714,21,21,18,17.0
110714,22,22,15,15.0
110714,24,24,4,3.0
110714,25,25,1,1.0
110714,26,26,5,5.0
110714,27,27,1,1.0
110714,28,28,18,16.0
110714,29,29,6,6.0
110714,33,33,1,1.0
110714,35,35,2,2.0
110714,36,36,3,3.0
110714,37,37,22,21.0
110714,39,39,2,2.0
110714,40,40,6,6.0
110714,42,42,3,3.0
110714,45,45,13,13.0
110714,47,47,177,174.0
110714,48,48,67,65.0
110714,51,51,9,9.0
110714,54,54,1,1.0
110714,55,55,3,3.0
110714,56,56,1,1.0
110714,57,57,2,2.0
110714,58,999,576,415.0
110714,90,90,7,5.0
110714,99,99,576,415.0
110714,5,5,3,1.0
110714,58,999,3,1.0
110714,99,99,3,1.0
110714,5,5,576,415.0
110714,5,5,1,1.0
110714,8,8,2,2.0
110714,12,12,7,6.0
110714,13,13,3,2.0
110714,16,16,1,1.0
110714,17,17,1,1.0
110714,18,18,2,1.0
110714,21,21,3,3.0
110714,22,22,4,4.0
110714,28,28,7,6.0
110714,36,36,1,0.0
110714,37,37,1,0.0
110714,39,39,2,2.0
110714,45,45,1,1.0
110714,47,47,4,4.0
110714,48,48,6,6.0
110714,53,53,1,1.0
110714,58,999,576,415.0
110714,99,99,576,415.0
110714,5,5,544,415.0
110714,12,12,3,2.0
110714,13,13,8,5.0
110714,17,17,1,1.0
110714,18,18,1,1.0
110714,58,999,557,415.0
110714,99,99,565,415.0
110714,5,5,576,415.0
110714,5,5,3,3.0
110714,6,6,2,2.0
110714,8,8,1,1.0
110714,10,10,1,1.0
110714,12,12,108,105.0
110714,13,13,15,15.0
110714,17,17,22,22.0
110714,18,18,3,3.0
110714,21,21,2,2.0
110714,22,22,39,39.0
110714,24,24,4,4.0
110714,25,25,1,1.0
110714,26,26,2,2.0
110714,27,27,1,1.0
110714,28,28,166,160.0
110714,29,29,9,8.0
110714,33,33,1,1.0
110714,36,36,2,2.0
110714,37,37,1,1.0
110714,39,39,4,4.0
110714,40,40,1,1.0
110714,41,41,1,1.0
110714,42,42,1,1.0
110714,45,45,2,2.0
110714,47,47,7,7.0
110714,48,48,3,3.0
110714,50,50,1,1.0
110714,51,51,1,1.0
110714,53,53,2,2.0
110714,55,55,1,1.0
110714,58,999,576,415.0
110714,90,90,29,14.0
110714,99,99,576,415.0
110714,5,5,74,69.0
110714,5,5,1,1.0
110714,6,6,1,1.0
110714,12,12,13,10.0
110714,13,13,5,5.0
110714,15,15,1,1.0
110714,17,17,18,18.0
110714,20,20,1,1.0
110714,22,22,39,36.0
110714,23,23,1,0.0
110714,25,25,1,1.0
110714,27,27,1,1.0
110714,28,28,6,6.0
110714,29,29,3,3.0
110714,36,36,1,1.0
110714,37,37,2,2.0
110714,39,39,2,2.0
110714,45,45,1,1.0
110714,47,47,6,6.0
110714,48,48,11,9.0
110714,58,999,188,174.0
110714,99,99,226,174.0
110714,5,5,97,97.0
110714,6,6,2,2.0
110714,12,12,4,4.0
110714,13,13,8,8.0
110714,17,17,4,4.0
110714,19,19,1,1.0
110714,21,21,1,1.0
110714,22,22,1,1.0
110714,26,26,2,2.0
110714,28,28,9,9.0
110714,39,39,4,4.0
110714,42,42,1,1.0
110714,47,47,8,8.0
110714,48,48,1,1.0
110714,58,999,143,143.0
110714,99,99,149,143.0
110714,5,5,41,41.0
110714,5,5,2,2.0
110714,6,6,5,5.0
110714,8,8,1,1.0
110714,11,11,1,1.0
110714,12,12,4,4.0
110714,13,13,17,17.0
110714,17,17,5,5.0
110714,22,22,14,14.0
110714,26,26,3,3.0
110714,28,28,5,5.0
110714,29,29,1,1.0
110714,34,34,1,1.0
110714,36,36,2,2.0
110714,39,39,1,1.0
110714,47,47,6,6.0
110714,48,48,2,2.0
110714,51,51,2,2.0
110714,57,57,2,2.0
110714,58,999,115,115.0
110714,99,99,117,115.0
110714,5,5,374,231.0
110714,6,6,1,0.0
110714,21,21,1,1.0
110714,25,25,1,1.0
110714,51,51,1,0.0
110714,58,999,378,233.0
110714,99,99,387,233.0
110714,5,5,576,415.0
110714,5,5,1,1.0
110714,5,5,4,3.0
110714,6,6,6,1.0
110714,8,8,3,1.0
110714,9,9,1,0.0
110714,12,12,154,117.0
110714,13,13,145,79.0
110714,15,15,2,0.0
110714,17,17,4,3.0
110714,18,18,1,0.0
110714,19,19,1,1.0
110714,20,20,3,0.0
110714,21,21,1,1.0
110714,22,22,1,1.0
110714,24,24,4,3.0
110714,26,26,2,0.0
110714,27,27,1,1.0
110714,28,28,6,4.0
110714,29,29,2,0.0
110714,31,31,1,0.0
110714,32,32,3,1.0
110714,35,35,1,0.0
110714,36,36,3,1.0
110714,37,37,17,0.0
110714,38,38,1,0.0
110714,39,39,2,2.0
110714,40,40,1,1.0
110714,42,42,1,0.0
110714,45,45,2,0.0
110714,47,47,4,2.0
110714,48,48,12,4.0
110714,49,49,2,0.0
110714,51,51,5,2.0
110714,53,53,1,0.0
110714,54,54,1,0.0
110714,55,55,2,1.0
110714,58,999,576,415.0
110714,72,72,1,0.0
110714,89,999,1,0.0
110714,90,90,41,8.0
110714,99,99,576,415.0
110714,5,5,116,116.0
110714,5,5,1,1.0
110714,5,5,5,5.0
110714,6,6,38,38.0
110714,8,8,2,2.0
110714,10,10,2,2.0
110714,12,12,38,38.0
110714,13,13,154,154.0
110714,17,17,20,20.0
110714,18,18,5,5.0
110714,20,20,1,1.0
110714,21,21,2,2.0
110714,22,22,18,18.0
110714,24,24,8,8.0
110714,25,25,1,1.0
110714,26,26,10,10.0
110714,28,28,18,18.0
110714,29,29,4,0.0
110714,31,31,1,1.0
110714,32,32,2,2.0
110714,34,34,3,3.0
110714,36,36,4,4.0
110714,37,37,9,9.0
110714,39,39,10,10.0
110714,41,41,2,2.0
110714,42,42,7,7.0
110714,45,45,6,6.0
110714,47,47,12,12.0
110714,48,48,26,26.0
110714,49,49,1,1.0
110714,51,51,4,4.0
110714,53,53,2,2.0
110714,55,55,1,1.0
110714,58,999,533,415.0
110714,99,99,533,415.0
110714,6,6,2,0.0
110714,58,999,2,0.0
110714,90,90,1,0.0
110714,99,99,3,0.0
110714,5,5,576,415.0
110714,12,12,1,1.0
110714,17,17,1,0.0
110714,21,21,1,0.0
110714,28,28,6,3.0
110714,29,29,1,0.0
110714,34,34,1,0.0
110714,37,37,1,1.0
110714,47,47,1,1.0
110714,58,999,576,415.0
110714,99,99,576,415.0
110714,5,5,576,415.0
110714,5,5,5,3.0
110714,6,6,7,6.0
110714,8,8,9,7.0
110714,9,9,3,1.0
110714,12,12,6,3.0
110714,13,13,2,0.0
110714,15,15,1,1.0
110714,16,16,2,2.0
110714,17,17,1,0.0
110714,22,22,1,0.0
110714,27,27,1,0.0
110714,29,29,1,1.0
110714,31,31,1,1.0
110714,32,32,1,0.0
110714,33,33,2,1.0
110714,35,35,1,1.0
110714,36,36,2,0.0
110714,37,37,2,1.0
110714,39,39,1,0.0
110714,40,40,2,2.0
110714,41,41,2,1.0
110714,42,42,2,1.0
110714,45,45,1,1.0
110714,46,46,1,1.0
110714,48,48,9,4.0
110714,49,49,1,0.0
110714,51,51,2,2.0
110714,53,53,7,5.0
110714,55,55,2,1.0
110714,56,56,2,1.0
110714,57,57,2,0.0
110714,58,999,576,415.0
110714,66,66,1,0.0
110714,78,78,1,0.0
110714,89,999,2,0.0
110714,90,90,14,7.0
110714,99,99,576,415.0
110714,5,5,3,3.0
110714,58,999,3,3.0
110714,99,99,3,3.0
110714,5,5,534,380.0
110714,5,5,3,1.0
110714,6,6,6,6.0
110714,8,8,7,5.0
110714,12,12,5,3.0
110714,13,13,1,1.0
110714,15,15,4,3.0
110714,16,16,2,2.0
110714,17,17,3,3.0
110714,18,18,1,1.0
110714,19,19,4,4.0
110714,20,20,1,1.0
110714,24,24,3,2.0
110714,25,25,3,3.0
110714,26,26,2,1.0
110714,27,27,3,2.0
110714,29,29,3,3.0
110714,30,30,1,1.0
110714,31,31,2,2.0
110714,32,32,1,1.0
110714,33,33,1,0.0
110714,34,34,4,1.0
110714,35,35,2,2.0
110714,37,37,2,2.0
110714,39,39,2,1.0
110714,40,40,2,1.0
110714,41,41,6,5.0
110714,42,42,7,2.0
110714,46,46,2,1.0
110714,47,47,1,0.0
110714,48,48,6,6.0
110714,49,49,1,1.0
110714,50,50,1,1.0
110714,51,51,3,2.0
110714,53,53,41,38.0
110714,55,55,3,2.0
110714,57,57,1,0.0
